"KO01" "KO02" "KO03" "KO04" "KO05x" "KO05" "KO06" "KO07" "KO08" "KO09" "KO10" "KO11" "KO12" "KO13" "KO14" "KO15" "KO16" "KO17" "KO18" "KO19" "KO20" "KO21" "KO22" "KO23" "KO24" "GR01" "GR02" "GR03" "GR04" "RF02" "RF03"
"pykA" "1,32E-01" "6,01E-01" "4,62E-01" "2,57E-01" NA "3,49E-01" "4,26E-01" "3,54E-01" "3,72E-01" "3,51E-01" "1,56E-01" "1,64E-01" NA "1,53E-01" "1,14E-01" "1,69E-01" "2,95E-01" "2,53E-01" "1,87E-01" "1,50E-01" "2,04E-01" "2,31E-01" "2,77E-01" "2,92E-01" "2,50E-01" "1,06E-01" "1,49E-01" "2,17E-01" "1,34E-01" "1,29E-01" "1,36E-01"
"pykF" "2,88E-01" "1,30E+00" "9,45E-01" "7,57E-01" NA "1,00E+00" "6,27E-01" "3,47E-01" "5,57E-01" NA "1,24E-01" "1,42E-01" "3,20E-01" "5,99E-03" "2,42E-01" "2,19E-01" "1,52E-01" "2,60E-01" "9,34E-01" "4,43E-01" "5,44E-01" "5,02E-01" "4,66E-01" "3,89E-01" "2,19E-01" "6,35E-01" "3,41E-01" "8,04E-01" "1,18E+00" "5,66E-01" "3,76E-01"
"ppsA" "1,65E-01" "4,90E-01" "6,10E-01" "5,30E-01" NA "3,83E-01" "6,67E-01" "2,42E-01" "3,39E-01" "5,41E-01" "2,62E-01" "3,38E-01" "1,62E-01" "1,72E-01" "4,45E-03" "3,43E-01" "2,76E-01" "3,43E-01" "1,54E-01" "2,23E-01" "2,37E-01" "3,77E-01" "2,24E-01" "3,97E-01" "3,23E-01" "1,39E-01" "1,12E-01" "6,22E-02" "1,01E-01" "3,45E-01" "1,81E-01"
"zwf" "3,20E-02" "1,43E-01" "1,65E-01" "1,11E-01" NA "1,06E-01" "1,03E-01" "1,52E-01" "1,78E-01" "2,19E-01" "7,74E-02" "6,67E-02" "4,14E-02" "3,83E-02" "4,05E-02" NA "1,98E-01" "7,24E-02" "9,28E-02" "6,17E-02" "1,02E-01" "7,55E-02" "6,48E-02" "7,71E-02" "5,38E-02" "0,00E+00" "0,00E+00" "0,00E+00" "0,00E+00" "6,86E-02" "4,28E-02"
"pgl" "9,08E-02" "1,29E-01" "1,47E-01" "1,62E-01" NA "3,42E-01" "2,21E-01" "1,54E-01" "1,90E-01" "1,78E-01" "7,96E-02" "6,93E-02" "8,76E-02" "9,61E-02" "8,80E-02" "8,75E-02" "1,69E-02" "1,07E-01" "9,54E-02" "1,02E-01" "9,96E-02" "1,33E-01" "1,23E-01" "1,31E-01" "1,25E-01" "1,05E-01" "3,55E-02" "3,42E-02" "3,29E-02" "9,96E-02" "9,27E-02"
"gnd" "7,86E-02" "4,43E-01" "8,82E-01" "8,16E-01" NA "8,84E-01" "6,91E-01" "3,18E-01" "4,80E-01" "3,87E-01" "4,21E-01" "4,03E-01" "1,00E-01" "8,92E-02" "7,54E-02" "3,28E-01" "3,25E-01" NA "2,63E-01" "7,92E-02" "1,10E-01" "1,15E-01" "1,33E-01" "1,26E-01" "1,05E-01" "1,96E-01" NA "5,81E-01" "6,75E-01" "8,88E-02" "6,35E-02"
"rpe" "4,33E-02" "1,13E-01" "1,45E-01" "9,08E-02" NA "1,86E-01" "1,01E-01" "4,65E-02" "1,29E-01" "1,71E-01" "1,23E-01" "8,62E-02" "4,99E-02" "4,57E-02" "4,29E-02" "1,21E-01" "3,84E-02" "7,22E-02" "5,38E-03" "5,56E-02" "7,26E-02" "6,42E-02" "8,85E-02" "8,53E-02" "7,06E-02" "3,17E-02" "1,19E-02" "4,21E-02" "3,86E-02" "3,57E-02" "5,19E-02"
"rpiA" "2,35E-02" "1,21E-01" "6,07E-02" "4,55E-02" NA "7,69E-02" "1,10E-01" "1,08E-01" "6,24E-02" NA "6,50E-03" "8,80E-03" "2,40E-02" "1,72E-02" "1,94E-02" "2,01E-02" "1,33E-01" "2,30E-02" "6,14E-02" NA "3,69E-02" "3,88E-02" "2,46E-02" "2,68E-02" "1,81E-02" "3,72E-02" "2,16E-02" "5,10E-02" "3,78E-02" "3,43E-02" "2,54E-02"
"rpiB" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "3,01E-02" NA NA NA NA NA NA NA NA NA NA NA
"tktA" "1,63E-01" "9,01E-01" "3,27E-01" "4,84E-01" NA "6,27E-01" "6,24E-01" "1,34E-01" "4,74E-01" "4,56E-01" "1,58E-01" "2,85E-01" "1,68E-01" "2,09E-01" "1,46E-01" "1,79E-01" "3,20E-01" "3,00E-01" "3,98E-01" "2,74E-01" "3,61E-01" NA "2,40E-01" "3,12E-01" "2,64E-01" "6,12E-01" "1,20E-01" "3,36E-01" "5,86E-01" "2,95E-01" "1,80E-01"
"tktB" "4,53E-01" "1,20E+00" "4,71E+00" "3,93E+00" NA "3,23E+00" "1,82E+00" "7,73E-01" "1,09E+00" "4,15E-01" "9,40E-01" "7,57E-01" "5,45E-01" "6,42E-01" "4,97E-01" "9,25E-01" "3,96E-01" "6,78E-01" "6,34E-01" "6,52E-01" "6,76E-01" "9,84E-01" NA "1,56E+00" "6,64E-01" "3,88E-01" "2,73E-01" "3,29E-01" "4,57E-01" "5,91E-01" "4,81E-01"
