"KO01" "KO02" "KO03" "KO04" "KO05x" "KO05" "KO06" "KO07" "KO08" "KO09" "KO10" "KO11" "KO12" "KO13" "KO14" "KO15" "KO16" "KO17" "KO18" "KO19" "KO20" "KO21" "KO22" "KO23" "KO24" "GR01" "GR02" "GR03" "GR04" "RF02" "RF03"
"Octanoate" NA "2,92E-01" "4,41E-01" NA NA NA "1,36E-01" "6,02E-02" "1,69E-01" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"2-Oxoglutarate" "3,72E-02" "4,62E-02" NA NA NA NA "4,69E-02" "3,66E-02" "5,20E-02" NA NA "5,06E-02" NA NA "4,81E-02" NA NA "1,11E-01" NA NA NA NA NA "5,09E-02" "6,77E-02" "7,38E-02" NA NA NA NA "3,01E-02"
"Glutamate" "3,26E+00" "2,17E+00" "7,67E-01" "1,16E+00" "1,45E+00" "1,59E+00" "4,13E+00" "3,51E+00" "4,61E+00" "2,83E+00" "4,75E+00" "8,73E+00" "3,22E+00" "2,50E+00" "2,68E+00" "2,76E+00" "2,38E+00" "5,19E+00" "3,73E+00" "3,77E+00" "1,31E+01" "6,90E+00" "3,18E+00" "4,02E+00" "4,90E+00" "2,37E+00" "5,17E+00" "5,15E+00" "2,61E+00" "3,64E+00" "3,02E+00"
"trans-Cinnamate" "6,65E-02" "5,48E-02" "1,79E-02" NA NA "3,57E-02" "1,05E-01" "7,09E-02" "1,09E-01" "8,15E-02" NA "1,71E-01" "6,02E-02" "4,90E-02" "5,84E-02" "1,02E-01" "4,78E-02" "1,41E-01" "1,45E-01" "9,67E-02" "1,39E-01" "1,42E-01" NA "9,07E-02" "1,12E-01" "4,84E-02" "9,46E-02" "9,74E-02" "9,95E-02" "9,94E-02" "6,81E-02"
"3-Phenylpropionate" "4,43E-02" "5,43E-02" "6,00E-02" "1,68E-02" NA NA "4,95E-02" "2,73E-02" "4,52E-02" NA "2,57E-01" "2,28E-01" "3,31E-02" "2,71E-02" "6,11E-02" "7,20E-02" NA "1,02E-01" "3,65E-01" "2,98E-01" "4,08E-02" "1,87E-01" "3,04E-02" "5,06E-02" "2,87E-02" NA NA NA "1,60E-02" "1,44E-01" "1,39E-01"
"2,4-Dihydroxypyrimidine-5-carboxylate" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "8,79E-02" NA "6,03E-01" "6,09E-01" NA NA NA NA NA NA
"Phosphoenolpyruvate" "7,86E-02" "2,75E-02" "1,88E-02" NA NA "1,30E-02" "6,16E-02" "6,64E-02" "3,95E-02" NA NA "2,15E-01" "2,30E-01" "1,59E-01" "8,25E-02" NA "2,66E-02" "1,02E-01" "2,66E-02" "5,75E-02" "6,92E-02" NA "1,75E-02" "8,27E-02" "7,82E-02" "1,81E-02" "6,95E-02" "4,77E-02" "1,49E-01" "9,11E-02" "1,75E-01"
"Dihydroxyacetone phosphate" NA NA NA NA NA "1,07E-01" NA NA NA NA NA NA NA NA NA NA "5,73E-02" "3,73E-03" "4,82E-02" "7,38E-03" NA "2,17E-03" NA NA "5,80E-03" "2,71E-01" "6,95E-02" "1,19E-01" "1,92E-01" NA NA
"Glycerophosphorate" "2,86E-01" "9,77E-02" "8,76E-02" "2,36E-01" "1,49E-01" "1,84E-01" "1,85E-01" "1,77E-01" "1,35E-01" "1,23E-01" NA "2,90E-01" "1,52E-01" "2,40E-01" "3,20E-01" "3,06E-01" "1,77E-01" "1,43E-01" "1,40E-01" "3,76E-01" "1,89E-01" "2,03E-01" "7,89E-02" "2,00E-01" "2,31E-01" "1,56E-01" "1,68E-01" "1,51E-01" "1,47E-01" "1,12E-01" "3,72E-01"
"Decanoate" NA "3,10E-02" "3,22E-02" NA NA NA "1,86E-02" "8,48E-03" "4,97E-02" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
